e1/do,e2/do,fu/fy,fmx/fndt,type
1.2,1.2,1.357827,1.23366,TO
1.5,1.2,1.357827,1.568627,N
2,1.2,1.357827,1.650327,N
1,1.5,1.357827,1.021242,TO
1.2,1.5,1.357827,1.339869,TO
1.5,1.5,1.357827,1.609477,SP
2,1.5,1.357827,2.312092,N
2.5,1.5,1.357827,2.279412,N
1,1.5,1.357827,1.029412,TO
1.2,1.5,1.357827,1.27451,TO
1.5,1.5,1.357827,1.580882,TO
2,1.5,1.357827,2.230392,N
2.5,1.5,1.357827,2.303922,N
1.5,1.2,1.357827,1.705882,N
2.5,1.2,1.357827,2.230392,N
1.5,1.5,1.357827,1.730392,TO
2.5,1.5,1.357827,2.29902,N
3,1,1.115942,1.260221,N
1.2,1.2,1.115942,1.313131,SP
1.5,1.2,1.115942,1.645022,SP
2,1.2,1.115942,1.731602,N
3,1.2,1.115942,1.707552,N
2.5,1.4,1.115942,2.140452,N
3,1.4,1.115942,2.116402,N
3.4,1.2,1.115942,1.779702,N
1,1.5,1.115942,1.096681,TO
1.5,1.5,1.115942,1.746032,SP
2,1.5,1.115942,2.323232,SP
2.5,1.5,1.115942,2.481962,N
3,1.5,1.115942,2.453102,N
3,1.3,1.115942,2.092352,N
1.5,1.5,1.115942,1.784512,SP
1.5,1.5,1.115942,1.741222,SP
1.5,2,1.115942,1.885522,TO
2,2,1.115942,2.549303,SP
2.5,2,1.115942,3.025493,SP
3.5,2,1.115942,3.790284,N
4.2,1.7,1.115942,2.85124,N
4.2,1.4,1.115942,2.361275,N
4.2,1.2,1.115942,1.900826,N
3,1,1.115942,1.348878,N
1.2,1.2,1.115942,1.390201,TO
2,1.2,1.115942,1.897875,N
3,1.2,1.115942,1.883117,N
3,1.2,1.115942,2.033648,N
3,1.5,1.115942,2.328808,N
1,1.5,1.115942,1.174734,TO
1.2,1.5,1.115942,1.449233,TO
3,1.5,1.115942,2.511806,N
2,1.4,1.115942,2.001181,N
1,3,1.118168,1.007266,TO
1.2,3,1.118168,1.243945,TO
1.5,3,1.118168,1.607221,TO
2,3,1.118168,2.102598,TO
2.5,3,1.118168,2.509908,TO
1.5,1.5,1.118168,1.491634,SP
1.5,1.1,1.118168,1.332012,N
1.5,0.8,1.118168,0.688023,N
1,3,1.041212,1.018626,TO
1.2,3,1.041212,1.2078,TO
1.5,3,1.041212,1.6104,TO
2,3,1.041212,2.119713,TO
2.5,3,1.041212,2.629026,TO
1.5,1.5,1.041212,1.537641,SP
1.5,1.1,1.041212,1.377571,N
1.5,0.8,1.041212,0.72274,N
1,3,1.041096,1.026003,TO
1.2,3,1.041096,1.284461,TO
1.5,3,1.041096,1.629073,TO
2,3,1.041096,2.153822,TO
2.5,3,1.041096,2.592419,TO
